contig,start,end,reads,pct_of_aligned
JBQVBD010000014.1,2172898,2173114,569,0.0008
JBQVBD010000017.1,2159765,2160141,568,0.0008
JBQVBD010000015.1,2130727,2130857,568,0.0008
JBQVBD010000011.1,752185,754574,568,0.0008
JBQVBD010000010.1,1682520,1682710,568,0.0008
JBQVBD010000016.1,1170346,1170531,567,0.0008
JBQVBD010000010.1,2379370,2379572,567,0.0008
JBQVBD010000007.1,451929,452557,567,0.0008
JBQVBD010000003.1,407725,408200,567,0.0008
JBQVBD010000002.1,107999,108327,567,0.0008
JBQVBD010000011.1,263338,263625,566,0.0008
JBQVBD010000017.1,1088477,1088624,565,0.0008
JBQVBD010000010.1,2701805,2702282,565,0.0008
JBQVBD010000015.1,1676028,1677314,564,0.0008
JBQVBD010000011.1,67908,69237,564,0.0008
JBQVBD010000008.1,793944,794374,564,0.0008
JBQVBD010000017.1,931131,931279,563,0.0008
JBQVBD010000016.1,3959542,3960160,563,0.0008
JBQVBD010000013.1,581066,581357,563,0.0008
JBQVBD010000012.1,3174849,3176006,563,0.0008
JBQVBD010000016.1,3110409,3110696,562,0.0008
JBQVBD010000016.1,2144915,2146697,562,0.0008
JBQVBD010000013.1,1510943,1511350,562,0.0008
JBQVBD010000010.1,4068,4832,562,0.0008
JBQVBD010000017.1,3267691,3269417,561,0.0008
JBQVBD010000015.1,1344484,1344664,561,0.0008
JBQVBD010000010.1,1577339,1577889,561,0.0008
JBQVBD010000014.1,1263622,1263817,559,0.0008
JBQVBD010000016.1,2751634,2751974,558,0.0008
JBQVBD010000016.1,2408810,2409097,558,0.0008
JBQVBD010000015.1,916756,918005,558,0.0008
JBQVBD010000003.1,755349,756386,558,0.0008
JBQVBD010000014.1,1154807,1154988,557,0.0008
JBQVBD010000016.1,4658699,4659129,556,0.0008
JBQVBD010000013.1,1568984,1570020,556,0.0008
JBQVBD010000008.1,712400,712606,555,0.0008
JBQVBD010000015.1,2441842,2442114,554,0.0008
JBQVBD010000011.1,2197424,2198204,554,0.0008
JBQVBD010000012.1,1917661,1919394,552,0.0008
JBQVBD010000013.1,2672637,2674240,551,0.0008
JBQVBD010000016.1,4670542,4671547,550,0.0008
JBQVBD010000016.1,4451682,4452106,550,0.0008
JBQVBD010000008.1,1448992,1449230,550,0.0008
JBQVBD010000010.1,2191197,2191395,549,0.0008
JBQVBD010000005.1,491514,491819,549,0.0008
JBQVBD010000017.1,3028686,3029246,548,0.0008
JBQVBD010000009.1,1656040,1656446,546,0.0007
JBQVBD010000009.1,1355553,1356110,546,0.0007
JBQVBD010000011.1,1238901,1239461,545,0.0007
JBQVBD010000008.1,774222,774680,544,0.0007
JBQVBD010000008.1,1213627,1213993,544,0.0007
JBQVBD010000015.1,1687558,1688261,543,0.0007
JBQVBD010000015.1,1695116,1697611,542,0.0007
JBQVBD010000011.1,2030307,2033499,542,0.0007
JBQVBD010000010.1,2633204,2633447,542,0.0007
JBQVBD010000004.1,274154,274697,542,0.0007
JBQVBD010000011.1,1701302,1701546,541,0.0007
JBQVBD010000017.1,4299547,4300201,540,0.0007
JBQVBD010000008.1,983852,984325,540,0.0007
JBQVBD010000005.1,347083,347350,540,0.0007
JBQVBD010000015.1,1653882,1654242,539,0.0007
JBQVBD010000013.1,400052,401264,539,0.0007
JBQVBD010000006.1,385776,386675,538,0.0007
JBQVBD010000017.1,267563,268588,537,0.0007
JBQVBD010000017.1,2347485,2348100,537,0.0007
JBQVBD010000008.1,1122309,1123438,537,0.0007
JBQVBD010000003.1,58796,59281,537,0.0007
JBQVBD010000016.1,3530053,3530272,536,0.0007
JBQVBD010000015.1,2731514,2731827,536,0.0007
JBQVBD010000005.1,956363,956754,535,0.0007
JBQVBD010000015.1,3743385,3744117,534,0.0007
JBQVBD010000015.1,3034291,3035475,534,0.0007
JBQVBD010000008.1,78909,79880,534,0.0007
JBQVBD010000005.1,616159,617220,534,0.0007
JBQVBD010000017.1,2961337,2961494,533,0.0007
JBQVBD010000007.1,407412,407814,533,0.0007
JBQVBD010000016.1,3182070,3182438,532,0.0007
JBQVBD010000016.1,1836947,1837227,532,0.0007
JBQVBD010000017.1,1989850,1991321,531,0.0007
JBQVBD010000016.1,1769049,1769211,529,0.0007
JBQVBD010000010.1,788516,788900,529,0.0007
JBQVBD010000010.1,553840,555572,528,0.0007
JBQVBD010000004.1,929475,930498,527,0.0007
JBQVBD010000011.1,904249,905077,526,0.0007
JBQVBD010000015.1,1188982,1189206,524,0.0007
JBQVBD010000010.1,1607495,1607662,524,0.0007
JBQVBD010000015.1,3839856,3840875,523,0.0007
JBQVBD010000012.1,1298045,1299338,523,0.0007
JBQVBD010000011.1,1033478,1034003,523,0.0007
JBQVBD010000015.1,1955540,1955926,522,0.0007
JBQVBD010000014.1,2197028,2197374,522,0.0007
JBQVBD010000014.1,1014253,1014571,522,0.0007
JBQVBD010000009.1,1027986,1028553,522,0.0007
JBQVBD010000017.1,4314405,4314970,521,0.0007
JBQVBD010000015.1,2935496,2935872,521,0.0007
JBQVBD010000014.1,955658,955896,521,0.0007
JBQVBD010000009.1,1903246,1904522,521,0.0007
JBQVBD010000007.1,411525,413851,521,0.0007
JBQVBD010000017.1,2175659,2176084,520,0.0007
JBQVBD010000011.1,1566877,1567179,520,0.0007
JBQVBD010000010.1,2180339,2180614,520,0.0007
JBQVBD010000017.1,809488,809791,519,0.0007
JBQVBD010000013.1,1869007,1870612,519,0.0007
JBQVBD010000006.1,1315445,1315670,519,0.0007
JBQVBD010000017.1,4397817,4398427,517,0.0007
JBQVBD010000016.1,5030825,5031428,517,0.0007
JBQVBD010000011.1,288216,288383,516,0.0007
JBQVBD010000004.1,532638,533135,516,0.0007
JBQVBD010000016.1,3627499,3627624,514,0.0007
JBQVBD010000017.1,3254010,3255493,512,0.0007
JBQVBD010000015.1,2775955,2776830,512,0.0007
JBQVBD010000011.1,2543921,2545022,511,0.0007
JBQVBD010000008.1,242064,242286,511,0.0007
JBQVBD010000016.1,2340394,2340676,510,0.0007
JBQVBD010000005.1,298015,298559,509,0.0007
JBQVBD010000017.1,387325,387570,508,0.0007
JBQVBD010000011.1,1336212,1336641,508,0.0007
JBQVBD010000008.1,437428,439333,508,0.0007
JBQVBD010000015.1,2399849,2400049,507,0.0007
JBQVBD010000006.1,371761,372374,506,0.0007
JBQVBD010000005.1,505120,505715,506,0.0007
JBQVBD010000011.1,1830235,1833125,505,0.0007
JBQVBD010000016.1,2050489,2050737,504,0.0007
JBQVBD010000014.1,1085945,1086094,504,0.0007
JBQVBD010000012.1,1818644,1819976,504,0.0007
JBQVBD010000016.1,3915760,3917573,503,0.0007
JBQVBD010000012.1,1308655,1308797,503,0.0007
JBQVBD010000005.1,622650,623635,503,0.0007
JBQVBD010000002.1,164280,165048,503,0.0007
JBQVBD010000016.1,2229214,2230476,502,0.0007
JBQVBD010000013.1,1251096,1252607,500,0.0007
